Minutes,Type I,Type Ia,Type II,Type III,,
2:06,0.0181,0.0318,0.0121,0.0102,,
2:07,0.0181,0.0318,0.0121,0.0102,,
2:08,0.0181,0.0318,0.0121,0.0102,,
2:09,0.0181,0.0318,0.0121,0.0102,,
2:10,0.0181,0.0318,0.0121,0.0102,,
2:11,0.0181,0.0318,0.0121,0.0102,,
2:12,0.0183,0.0321,0.0123,0.0104,,
2:13,0.0183,0.0321,0.0123,0.0104,,
2:14,0.0183,0.0321,0.0123,0.0104,,
2:15,0.0183,0.0321,0.0123,0.0104,,
2:16,0.0183,0.0321,0.0123,0.0104,,
2:17,0.0183,0.0321,0.0123,0.0104,,
2:18,0.0186,0.0322,0.0123,0.0105,,
2:19,0.0186,0.0322,0.0123,0.0105,,
2:20,0.0186,0.0322,0.0123,0.0105,,
2:21,0.0186,0.0322,0.0123,0.0105,,
2:22,0.0186,0.0322,0.0123,0.0105,,
2:23,0.0186,0.0322,0.0123,0.0105,,
2:24,0.0189,0.0324,0.0125,0.0107,,
2:25,0.0189,0.0324,0.0125,0.0107,,
2:26,0.0189,0.0324,0.0125,0.0107,,
2:27,0.0189,0.0324,0.0125,0.0107,,
2:28,0.0189,0.0324,0.0125,0.0107,,
2:29,0.0189,0.0324,0.0125,0.0107,,
2:30,0.0192,0.032,0.0125,0.0108,,
2:31,0.0192,0.032,0.0125,0.0108,,
2:32,0.0192,0.032,0.0125,0.0108,,
2:33,0.0192,0.032,0.0125,0.0108,,
2:34,0.0192,0.032,0.0125,0.0108,,
2:35,0.0192,0.032,0.0125,0.0108,,
2:36,0.0195,0.032,0.0127,0.011,,
2:37,0.0195,0.032,0.0127,0.011,,
2:38,0.0195,0.032,0.0127,0.011,,
2:39,0.0195,0.032,0.0127,0.011,,
2:40,0.0195,0.032,0.0127,0.011,,
2:41,0.0195,0.032,0.0127,0.011,,
2:42,0.0198,0.032,0.0127,0.0111,,
2:43,0.0198,0.032,0.0127,0.0111,,
2:44,0.0198,0.032,0.0127,0.0111,,
2:45,0.0198,0.032,0.0127,0.0111,,
2:46,0.0198,0.032,0.0127,0.0111,,
2:47,0.0198,0.032,0.0127,0.0111,,
2:48,0.02,0.032,0.0129,0.0113,,
2:49,0.02,0.032,0.0129,0.0113,,
2:50,0.02,0.032,0.0129,0.0113,,
2:51,0.02,0.032,0.0129,0.0113,,
2:52,0.02,0.032,0.0129,0.0113,,
2:53,0.02,0.032,0.0129,0.0113,,
2:54,0.0204,0.032,0.0129,0.0114,,
2:55,0.0204,0.032,0.0129,0.0114,,
2:56,0.0204,0.032,0.0129,0.0114,,
2:57,0.0204,0.032,0.0129,0.0114,,
2:58,0.0204,0.032,0.0129,0.0114,,
2:59,0.0204,0.032,0.0129,0.0114,,
3:00,0.0206,0.0314,0.0131,0.0116,,
3:01,0.0206,0.0314,0.0131,0.0116,,
3:02,0.0206,0.0314,0.0131,0.0116,,
3:03,0.0206,0.0314,0.0131,0.0116,,
3:04,0.0206,0.0314,0.0131,0.0116,,
3:05,0.0206,0.0314,0.0131,0.0116,,
3:06,0.021,0.0315,0.0131,0.0117,,
3:07,0.021,0.0315,0.0131,0.0117,,
3:08,0.021,0.0315,0.0131,0.0117,,
3:09,0.021,0.0315,0.0131,0.0117,,
3:10,0.021,0.0315,0.0131,0.0117,,
3:11,0.021,0.0315,0.0131,0.0117,,
3:12,0.0212,0.0318,0.0133,0.0119,,
3:13,0.0212,0.0318,0.0133,0.0119,,
3:14,0.0212,0.0318,0.0133,0.0119,,
3:15,0.0212,0.0318,0.0133,0.0119,,
3:16,0.0212,0.0318,0.0133,0.0119,,
3:17,0.0212,0.0318,0.0133,0.0119,,
3:18,0.0215,0.0324,0.0133,0.012,,
3:19,0.0215,0.0324,0.0133,0.012,,
3:20,0.0215,0.0324,0.0133,0.012,,
3:21,0.0215,0.0324,0.0133,0.012,,
3:22,0.0215,0.0324,0.0133,0.012,,
3:23,0.0215,0.0324,0.0133,0.012,,
3:24,0.0218,0.0329,0.0135,0.0122,,
3:25,0.0218,0.0329,0.0135,0.0122,,
3:26,0.0218,0.0329,0.0135,0.0122,,
3:27,0.0218,0.0329,0.0135,0.0122,,
3:28,0.0218,0.0329,0.0135,0.0122,,
3:29,0.0218,0.0329,0.0135,0.0122,,
3:30,0.0221,0.0347,0.0135,0.0123,,
3:31,0.0221,0.0347,0.0135,0.0123,,
3:32,0.0221,0.0347,0.0135,0.0123,,
3:33,0.0221,0.0347,0.0135,0.0123,,
3:34,0.0221,0.0347,0.0135,0.0123,,
3:35,0.0221,0.0347,0.0135,0.0123,,
3:36,0.0224,0.0355,0.0137,0.0125,,
3:37,0.0224,0.0355,0.0137,0.0125,,
3:38,0.0224,0.0355,0.0137,0.0125,,
3:39,0.0224,0.0355,0.0137,0.0125,,
3:40,0.0224,0.0355,0.0137,0.0125,,
3:41,0.0224,0.0355,0.0137,0.0125,,
3:42,0.0227,0.036,0.0137,0.0126,,
3:43,0.0227,0.036,0.0137,0.0126,,
3:44,0.0227,0.036,0.0137,0.0126,,
3:45,0.0227,0.036,0.0137,0.0126,,
3:46,0.0227,0.036,0.0137,0.0126,,
3:47,0.0227,0.036,0.0137,0.0126,,
3:48,0.0229,0.0367,0.0139,0.0128,,
3:49,0.0229,0.0367,0.0139,0.0128,,
3:50,0.0229,0.0367,0.0139,0.0128,,
3:51,0.0229,0.0367,0.0139,0.0128,,
3:52,0.0229,0.0367,0.0139,0.0128,,
3:53,0.0229,0.0367,0.0139,0.0128,,
3:54,0.0233,0.0371,0.0139,0.0129,,
3:55,0.0233,0.0371,0.0139,0.0129,,
3:56,0.0233,0.0371,0.0139,0.0129,,
3:57,0.0233,0.0371,0.0139,0.0129,,
3:58,0.0233,0.0371,0.0139,0.0129,,
3:59,0.0233,0.0371,0.0139,0.0129,,
4:00,0.0235,0.0369,0.0141,0.0131,,
4:01,0.0235,0.0369,0.0141,0.0131,,
4:02,0.0235,0.0369,0.0141,0.0131,,
4:03,0.0235,0.0369,0.0141,0.0131,,
4:04,0.0235,0.0369,0.0141,0.0131,,
4:05,0.0235,0.0369,0.0141,0.0131,,
4:06,0.0235,0.0373,0.0143,0.0132,,
4:07,0.0235,0.0373,0.0143,0.0132,,
4:08,0.0235,0.0373,0.0143,0.0132,,
